%time,field.header.seq,field.header.stamp,field.orientation.x,field.orientation.y,field.orientation.z,field.orientation.w,field.orientation_covariance0,field.orientation_covariance1,field.orientation_covariance2,field.orientation_covariance3,field.orientation_covariance4,field.orientation_covariance5,field.orientation_covariance6,field.orientation_covariance7,field.orientation_covariance8,field.angular_velocity.x,field.angular_velocity.y,field.angular_velocity.z,field.angular_velocity_covariance0,field.angular_velocity_covariance1,field.angular_velocity_covariance2,field.angular_velocity_covariance3,field.angular_velocity_covariance4,field.angular_velocity_covariance5,field.angular_velocity_covariance6,field.angular_velocity_covariance7,field.angular_velocity_covariance8,field.linear_acceleration.x,field.linear_acceleration.y,field.linear_acceleration.z,field.linear_acceleration_covariance0,field.linear_acceleration_covariance1,field.linear_acceleration_covariance2,field.linear_acceleration_covariance3,field.linear_acceleration_covariance4,field.linear_acceleration_covariance5,field.linear_acceleration_covariance6,field.linear_acceleration_covariance7,field.linear_acceleration_covariance8
1372687210598362151,4219,1372687210595720188,-0.0162312533092,-0.0366072482094,0.606600433296,0.793997714178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0143082192478,0.0296951042867,0.0960562543653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.368856,-0.722016,9.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1372687210691559872,4220,1372687210693428988,-0.0165440095147,-0.0351081107213,0.610268183011,0.791243616792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0143120933463,0.0237583886426,0.0897675743837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3924,-0.635688,9.802152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1372687210795510077,4221,1372687210791438789,-0.0157749362303,-0.0351521812832,0.613562944188,0.788705261208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0137882238695,-0.0135918580513,0.0887190177606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.408096,-0.635688,9.88848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1372687210897375454,4222,1372687210889488284,-0.0144323363662,-0.0362315686326,0.616804624527,0.786149499944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00855784401888,-0.0355813666627,0.0803411266212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.408096,-0.525816,9.841392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1372687210989363914,4223,1372687210987423712,-0.0126102960313,-0.0378323978679,0.620087940057,0.783518115108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00977801864155,-0.0491970007206,0.0813865886599,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.494424,-0.54936,9.880632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1372687211091330918,4224,1372687211085423079,-0.0104537670842,-0.0402539883238,0.623402503488,0.780794245511,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00558828011346,-0.0731098861231,0.0922024797929,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5886,-0.557208,9.825696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1372687211183450755,4225,1372687211182518816,-0.00762185897621,-0.0440472959947,0.627328598326,0.777470624978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00104359726843,-0.0956234738764,0.0984884181452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.659232,-0.565056,9.880632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1372687211285799173,4226,1372687211280487883,-0.00443748640263,-0.0478636960491,0.631297114556,0.774049952179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00488643352177,-0.111157053914,0.110361039636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.74556,-0.635688,9.786456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1372687211377572292,4227,1372687211378433446,-0.00052843019099,-0.0528993757666,0.635745263712,0.770083980143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000698196644854,-0.129130492755,0.112809770882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.800496,-0.643536,9.802152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1372687211479805542,4228,1372687211476806605,0.00312588439625,-0.0573851445283,0.639444083837,0.766686661994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00314296444355,-0.129479716335,0.104435415022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.90252,-0.62784,9.707976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
